tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
9009350400,9140350400,3504,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06704
9009350500,9140350500,3505,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06706
9009352701,9140352701,3527.01,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06705
9009352702,9140352702,3527.02,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06705
9009352800,9140352800,3528,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06706
9009166002,9170166002,1660.02,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06518
9009194202,9170194202,1942.02,Madison,900944560,917044560,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,76,Madison,06443
9009346102,9140346102,3461.02,Oxford,900958300,914058300,New Haven,9009,Naugatuck Valley Planning Region,9140,20603,Naugatuck Valley South,108,Oxford,06478
9009351100,9140351100,3511,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06704
9009361300,9140361300,3613,Wolcott,900987560,914087560,New Haven,9009,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,166,Wolcott,06716
9009190303,9170190303,1903.03,Guilford,900934950,917034950,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,60,Guilford,06437
9009341100,9140341100,3411,Beacon Falls,900903250,914003250,New Haven,9009,Naugatuck Valley Planning Region,9140,20603,Naugatuck Valley South,216,Region 16,06403
